date,price
2009-11-10,88.699997
2009-11-11,94
2009-11-12,92.949997
2009-11-13,94.599998
2009-11-16,97.099998
2009-11-17,98
2009-11-18,96.5
2009-11-19,95.550003
2009-11-20,95.050003
2009-11-23,95.599998
2009-11-24,95.050003
2009-11-25,95.900002
2009-11-26,94.150002
2009-11-27,87
2009-11-30,90.699997
2009-12-01,91.650002
2009-12-02,92.550003
2009-12-03,93.800003
2009-12-04,93.449997
2009-12-07,92.349998
2009-12-08,90.550003
2009-12-09,88.199997
2009-12-10,88.599998
2009-12-11,90.150002
2009-12-14,91.449997
2009-12-15,89.449997
2009-12-16,88.849998
2009-12-17,88.199997
2009-12-18,87.449997
2009-12-21,86.5
2009-12-22,87.150002
2009-12-23,87.800003
2009-12-24,88.599998
2009-12-28,88.400002
2009-12-29,88.449997
2009-12-30,88.699997
2009-12-31,89.400002
2010-01-04,89.25
2010-01-05,90.449997
2010-01-06,91.599998
2010-01-07,91.25
2010-01-08,91.699997
2010-01-11,92.400002
2010-01-12,91.650002
2010-01-13,90.199997
2010-01-14,90.849998
2010-01-15,91.050003
2010-01-18,89.25
2010-01-19,89.300003
2010-01-20,87.849998
2010-01-21,87.050003
2010-01-22,85.699997
2010-01-25,84.300003
2010-01-26,84.099998
2010-01-27,84.050003
2010-01-28,85.050003
2010-01-29,83.599998
2010-02-01,83.849998
2010-02-02,84.550003
2010-02-03,85.75
2010-02-04,83.849998
2010-02-05,80.699997
2010-02-08,79.800003
2010-02-09,79.300003
2010-02-10,80.050003
2010-02-11,81.349998
2010-02-12,80.75
2010-02-17,82.300003
2010-02-18,82.550003
2010-02-19,81.050003
2010-02-22,83.650002
2010-02-23,85.300003
2010-02-24,84.599998
2010-02-25,85.300003
2010-02-26,85.849998
2010-03-01,86.650002
2010-03-02,80.550003
2010-03-03,81.449997
2010-03-04,81.050003
2010-03-05,81.800003
2010-03-08,83.050003
2010-03-09,82.5
2010-03-10,81.599998
2010-03-11,81.800003
2010-03-12,81.300003
2010-03-15,80.849998
2010-03-16,80.599998
2010-03-17,81.25
2010-03-18,81.449997
2010-03-19,80.949997
2010-03-22,79.25
2010-03-23,79.349998
2010-03-24,79.099998
2010-03-25,78.349998
2010-03-26,80.150002
2010-03-29,79.900002
2010-03-30,80.050003
2010-03-31,79.099998
2010-04-01,79.349998
2010-04-07,79.949997
2010-04-08,79.550003
2010-04-09,81.949997
2010-04-12,82.699997
2010-04-13,82.650002
2010-04-14,82.5
2010-04-15,84.300003
2010-04-16,84.550003
2010-04-19,81.849998
2010-04-20,82.650002
2010-04-21,82.050003
2010-04-22,82.400002
2010-04-23,81.099998
2010-04-26,82.949997
2010-04-27,81.449997
2010-04-28,79.099998
2010-04-29,79.099998
2010-04-30,80.949997
2010-05-03,79
2010-05-04,79.050003
2010-05-05,77.550003
2010-05-06,76.849998
2010-05-07,73.550003
2010-05-10,77.699997
2010-05-11,76.25
2010-05-12,77.550003
2010-05-13,76.75
2010-05-14,74.599998
2010-05-17,72.900002
2010-05-18,74
2010-05-19,72.150002
2010-05-20,72.650002
2010-05-24,71.650002
2010-05-25,69.550003
2010-05-26,70.150002
2010-05-27,70.099998
2010-05-28,71.599998
2010-05-31,71.199997
2010-06-01,70.400002
2010-06-02,71.449997
2010-06-03,72.900002
2010-06-04,73.5
2010-06-07,70.650002
2010-06-08,71.400002
2010-06-09,71.800003
2010-06-10,72.099998
2010-06-11,73.099998
2010-06-14,73.849998
2010-06-15,73.900002
2010-06-17,74.050003
2010-06-18,74.849998
2010-06-21,76.449997
2010-06-22,75.699997
2010-06-23,76.400002
2010-06-24,75.25
2010-06-25,75.300003
2010-06-28,75.050003
2010-06-29,73.449997
2010-06-30,72.650002
2010-07-02,71.699997
2010-07-05,71.150002
2010-07-06,71.650002
2010-07-07,71.199997
2010-07-08,73
2010-07-09,73.75
2010-07-12,73.800003
2010-07-13,73.900002
2010-07-14,75.550003
2010-07-15,74.900002
2010-07-16,75.650002
2010-07-19,73.949997
2010-07-20,74.199997
2010-07-21,75.800003
2010-07-22,75.949997
2010-07-23,76.900002
2010-07-26,77.550003
2010-07-27,78.849998
2010-07-28,80.900002
2010-07-29,80.550003
2010-07-30,79.75
2010-08-02,81.050003
2010-08-03,82.5
2010-08-04,82.300003
2010-08-05,82.650002
2010-08-06,82.699997
2010-08-09,82.400002
2010-08-10,81.849998
2010-08-11,81.5
2010-08-12,80
2010-08-13,79.599998
2010-08-16,79.550003
2010-08-17,79.849998
2010-08-18,78.900002
2010-08-19,78.599998
2010-08-20,77.349998
2010-08-23,77.150002
2010-08-24,75.900002
2010-08-25,76.349998
2010-08-26,76.900002
2010-08-27,76.150002
2010-08-30,77.25
2010-08-31,75.800003
2010-09-01,76.449997
2010-09-02,77.949997
2010-09-03,78.050003
2010-09-06,79.300003
2010-09-07,79.25
2010-09-08,78.199997
2010-09-09,78.300003
2010-09-10,79.150002
2010-09-13,80.599998
2010-09-14,81.050003
2010-09-15,81.550003
2010-09-16,81.699997
