date,price
2/12/2014,2.62
3/12/2014,2.5
4/12/2014,2.64
5/12/2014,2.53
8/12/2014,2.43
9/12/2014,2.34
10/12/2014,2.37
11/12/2014,2.3
12/12/2014,2.27
15/12/2014,2.13
16/12/2014,1.95
17/12/2014,1.76
18/12/2014,1.99
19/12/2014,1.94
22/12/2014,1.85
23/12/2014,1.8
24/12/2014,1.83
29/12/2014,1.87
30/12/2014,1.98
31/12/2014,2.2
2/1/2015,2.12
5/1/2015,2.1
6/1/2015,2.06
7/1/2015,2.1
8/1/2015,2.05
9/1/2015,2.07
12/1/2015,2.05
13/1/2015,2.01
14/1/2015,2.05
15/1/2015,1.98
16/1/2015,2.02
19/1/2015,1.96
20/1/2015,1.92
21/1/2015,1.85
22/1/2015,1.88
23/1/2015,1.96
26/1/2015,1.91
27/1/2015,2
28/1/2015,2
29/1/2015,1.96
30/1/2015,1.94
2/2/2015,1.98
3/2/2015,1.99
4/2/2015,1.92
5/2/2015,1.91
6/2/2015,1.94
9/2/2015,1.92
10/2/2015,1.92
11/2/2015,1.86
12/2/2015,1.89
13/2/2015,1.89
16/2/2015,1.93
17/2/2015,1.94
18/2/2015,1.96
23/2/2015,1.95
24/2/2015,1.95
25/2/2015,1.9
26/2/2015,2.02
27/2/2015,1.97
2/3/2015,1.99
3/3/2015,1.98
4/3/2015,1.94
5/3/2015,1.89
6/3/2015,1.89
9/3/2015,1.89
10/3/2015,1.88
11/3/2015,1.85
12/3/2015,1.81
13/3/2015,1.92
16/3/2015,1.98
17/3/2015,1.95
18/3/2015,1.96
19/3/2015,2
20/3/2015,1.99
23/3/2015,1.99
24/3/2015,2
25/3/2015,2.28
26/3/2015,2.15
27/3/2015,2.25
30/3/2015,2.19
31/3/2015,2.1
1/4/2015,2.03
2/4/2015,2.13
8/4/2015,2.72
9/4/2015,3
10/4/2015,3.08
13/4/2015,3.3
14/4/2015,3.45
15/4/2015,3.3
16/4/2015,3.54
17/4/2015,3.42
20/4/2015,3.31
21/4/2015,3.4
22/4/2015,3.4
23/4/2015,3.26
24/4/2015,3.17
27/4/2015,3.12
28/4/2015,3.13
29/4/2015,3
30/4/2015,3.02
4/5/2015,3.33
5/5/2015,3.2
6/5/2015,3.02
7/5/2015,3
8/5/2015,3.04
11/5/2015,3.27
12/5/2015,3.27
13/5/2015,3.4
14/5/2015,3.69
15/5/2015,3.62
18/5/2015,3.62
19/5/2015,3.69
20/5/2015,3.7
21/5/2015,3.6
22/5/2015,3.53
26/5/2015,3.66
27/5/2015,3.55
28/5/2015,3.42
29/5/2015,3.42
1/6/2015,3.59
2/6/2015,3.56
3/6/2015,3.41
4/6/2015,3.39
5/6/2015,3.3
8/6/2015,3.21
9/6/2015,3.1
10/6/2015,3.1
11/6/2015,3.06
12/6/2015,3.17
15/6/2015,3.16
16/6/2015,3.09
17/6/2015,3.12
18/6/2015,3.18
19/6/2015,3.05
22/6/2015,3.06
23/6/2015,3.02
24/6/2015,3.11
25/6/2015,3.1
26/6/2015,3.01
29/6/2015,2.8
30/6/2015,2.71
2/7/2015,2.52
3/7/2015,2.53
6/7/2015,2.02
7/7/2015,1.87
8/7/2015,1.73
9/7/2015,2.06
10/7/2015,2.14
13/7/2015,2.17
14/7/2015,2.35
15/7/2015,2.17
16/7/2015,2.16
17/7/2015,2.19
20/7/2015,2.19
21/7/2015,2.16
22/7/2015,2.11
23/7/2015,2.21
24/7/2015,2.2
27/7/2015,1.9
28/7/2015,1.85
29/7/2015,1.89
30/7/2015,2
31/7/2015,2.01
3/8/2015,1.92
4/8/2015,1.98
5/8/2015,2.05
6/8/2015,2.05
7/8/2015,2.05
10/8/2015,2.04
11/8/2015,2.03
12/8/2015,1.99
13/8/2015,1.98
14/8/2015,1.94
17/8/2015,1.92
18/8/2015,1.91
19/8/2015,1.88
20/8/2015,1.85
21/8/2015,1.74
24/8/2015,1.5
25/8/2015,1.55
26/8/2015,1.54
27/8/2015,1.59
28/8/2015,1.45
31/8/2015,1.43
1/9/2015,1.39
2/9/2015,1.3
4/9/2015,1.32
7/9/2015,1.3
8/9/2015,1.33
9/9/2015,1.36
10/9/2015,1.38
11/9/2015,1.4
14/9/2015,1.36
15/9/2015,1.36
16/9/2015,1.39
17/9/2015,1.37
18/9/2015,1.4
21/9/2015,1.45
22/9/2015,1.39
23/9/2015,1.34
24/9/2015,1.34
25/9/2015,1.32
29/9/2015,1.28
30/9/2015,1.35
2/10/2015,1.35
5/10/2015,1.41
6/10/2015,1.58
7/10/2015,1.58
8/10/2015,1.54
9/10/2015,1.64
12/10/2015,1.87
13/10/2015,1.83
14/10/2015,1.84
15/10/2015,1.84
16/10/2015,1.88
19/10/2015,1.77
20/10/2015,1.69
22/10/2015,1.64
23/10/2015,1.69
26/10/2015,1.71
27/10/2015,1.67
28/10/2015,1.62
29/10/2015,1.64
30/10/2015,1.73
2/11/2015,1.7
3/11/2015,1.68
4/11/2015,1.74
5/11/2015,1.78
6/11/2015,1.7
9/11/2015,1.73
10/11/2015,1.7
11/11/2015,1.75
12/11/2015,1.81
13/11/2015,1.84
16/11/2015,1.83
17/11/2015,1.83
18/11/2015,1.76
19/11/2015,1.81
20/11/2015,1.84
23/11/2015,1.84
24/11/2015,1.8
25/11/2015,1.78
26/11/2015,1.78
27/11/2015,1.74
30/11/2015,1.66
1/12/2015,1.67
2/12/2015,1.69
3/12/2015,1.62
4/12/2015,1.62
7/12/2015,1.61
8/12/2015,1.61
9/12/2015,1.61
10/12/2015,1.56
11/12/2015,1.54
14/12/2015,1.52
15/12/2015,1.52
16/12/2015,1.52
17/12/2015,1.58
18/12/2015,1.59
21/12/2015,1.52
22/12/2015,1.5
23/12/2015,1.52
24/12/2015,1.54
28/12/2015,1.52
29/12/2015,1.55
30/12/2015,1.55
31/12/2015,1.59
4/1/2016,1.49
5/1/2016,1.45
6/1/2016,1.42
7/1/2016,1.3
8/1/2016,1.35
11/1/2016,1.29
12/1/2016,1.26
13/1/2016,1.23
14/1/2016,1.21
15/1/2016,1.19
18/1/2016,1.14
19/1/2016,1.29
20/1/2016,1.16
21/1/2016,1.09
22/1/2016,1.06
25/1/2016,1.03
26/1/2016,0.98
27/1/2016,1
28/1/2016,0.99
29/1/2016,0.99
1/2/2016,1.03
2/2/2016,1.02
3/2/2016,1
4/2/2016,1.02
5/2/2016,1.02
11/2/2016,0.98
12/2/2016,0.99
15/2/2016,1
16/2/2016,1.01
17/2/2016,1.01
18/2/2016,1.07
19/2/2016,1.08
22/2/2016,1.11
23/2/2016,1.09
24/2/2016,1.07
25/2/2016,1.07
26/2/2016,1.07
29/2/2016,1.07
1/3/2016,1.07
2/3/2016,1.16
3/3/2016,1.16
4/3/2016,1.16
7/3/2016,1.19
8/3/2016,1.22
9/3/2016,1.17
10/3/2016,1.18
11/3/2016,1.17
14/3/2016,1.17
15/3/2016,1.11
16/3/2016,1.12
17/3/2016,1.14
18/3/2016,1.32
21/3/2016,1.28
22/3/2016,1.28
23/3/2016,1.29
24/3/2016,1.28
29/3/2016,1.3
