date,price
28/9/2017,23.5
29/9/2017,26.540001
2/10/2017,23.559999
3/10/2017,20.809999
4/10/2017,20.85
5/10/2017,22.01
6/10/2017,23.200001
9/10/2017,24.540001
10/10/2017,22.93
11/10/2017,23.66
12/10/2017,23.629999
13/10/2017,23.02
16/10/2017,22.190001
17/10/2017,22.09
18/10/2017,22.049999
19/10/2017,22.030001
20/10/2017,21.870001
23/10/2017,20.370001
24/10/2017,19.77
25/10/2017,18.92
26/10/2017,18.57
27/10/2017,18.790001
30/10/2017,19.5
31/10/2017,20.379999
1/11/2017,19.799999
2/11/2017,19.75
3/11/2017,19.549999
6/11/2017,19.34
7/11/2017,19.129999
8/11/2017,18.84
9/11/2017,29.190001
10/11/2017,33.25
13/11/2017,42.709999
14/11/2017,36.950001
15/11/2017,39.32
16/11/2017,39.790001
17/11/2017,38.59
20/11/2017,39.02
21/11/2017,37.259998
22/11/2017,40.599998
24/11/2017,39.470001
27/11/2017,46.52
28/11/2017,46.43
29/11/2017,44.869999
30/11/2017,43.900002
1/12/2017,43.549999
4/12/2017,41.73
5/12/2017,39.450001
6/12/2017,44.259998
7/12/2017,42.52
8/12/2017,44.790001
11/12/2017,47.98
12/12/2017,46.950001
13/12/2017,45.459999
14/12/2017,46.150002
15/12/2017,52.310001
18/12/2017,56.099998
19/12/2017,56.580002
20/12/2017,52.889999
21/12/2017,53.849998
22/12/2017,51.619999
26/12/2017,54.869999
27/12/2017,54.759998
28/12/2017,53.189999
29/12/2017,51.779999
2/1/2018,52.07
3/1/2018,55.439999
4/1/2018,51.240002
5/1/2018,46.279999
8/1/2018,47.470001
9/1/2018,44.73
10/1/2018,44.709999
11/1/2018,43.869999
12/1/2018,43.380001
16/1/2018,39.189999
17/1/2018,41.540001
18/1/2018,40.759998
19/1/2018,40.220001
22/1/2018,43.619999
23/1/2018,42.619999
24/1/2018,42.25
25/1/2018,44.099998
26/1/2018,42.91
29/1/2018,42.360001
30/1/2018,41.52
31/1/2018,40.619999
1/2/2018,39.919998
2/2/2018,40.459999
5/2/2018,40.169998
6/2/2018,41.900002
7/2/2018,45.689999
8/2/2018,43.700001
9/2/2018,42.459999
12/2/2018,43.23
13/2/2018,43.02
14/2/2018,44.849998
15/2/2018,45.639999
16/2/2018,48.130001
20/2/2018,51.18
21/2/2018,51.099998
22/2/2018,42.049999
23/2/2018,41.52
26/2/2018,40.439999
27/2/2018,40.91
28/2/2018,40.77
1/3/2018,38.720001
2/3/2018,37.57
5/3/2018,39
6/3/2018,38.580002
7/3/2018,38.889999
8/3/2018,38.689999
9/3/2018,38.5
12/3/2018,37.869999
13/3/2018,37.369999
14/3/2018,36.93
15/3/2018,36.27
16/3/2018,35.860001
19/3/2018,33.849998
20/3/2018,34.73
21/3/2018,34.25
22/3/2018,33.509998
23/3/2018,32.060001
26/3/2018,34.59
27/3/2018,33
28/3/2018,31.299999
29/3/2018,31.1
2/4/2018,30.33
3/4/2018,30.290001
4/4/2018,32.27
5/4/2018,31.76
6/4/2018,31.360001
9/4/2018,32.610001
10/4/2018,32.27
11/4/2018,32.009998
12/4/2018,33.689999
13/4/2018,32.689999
16/4/2018,33.02
17/4/2018,35.98
18/4/2018,31.719999
19/4/2018,32.700001
20/4/2018,32.57
23/4/2018,32.27
24/4/2018,32.400002
25/4/2018,31.879999
26/4/2018,32.91
27/4/2018,32.700001
30/4/2018,32.540001
1/5/2018,32.970001
2/5/2018,33.360001
3/5/2018,31.02
4/5/2018,31.549999
7/5/2018,33.169998
8/5/2018,33.119999
9/5/2018,36.080002
10/5/2018,35.459999
11/5/2018,35.139999
14/5/2018,35.299999
15/5/2018,34.080002
16/5/2018,34.439999
17/5/2018,34.259998
18/5/2018,35.400002
21/5/2018,34.740002
22/5/2018,34.040001
23/5/2018,34.549999
24/5/2018,35.990002
25/5/2018,38.540001
29/5/2018,38.599998
30/5/2018,38.450001
31/5/2018,37.459999
1/6/2018,37.07
4/6/2018,38.029999
5/6/2018,40.259998
6/6/2018,39.450001
7/6/2018,39.57
8/6/2018,39.240002
11/6/2018,41.459999
12/6/2018,41.459999
13/6/2018,43.43
14/6/2018,45.02
15/6/2018,43.299999
18/6/2018,44.93
19/6/2018,45.27
20/6/2018,46.75
21/6/2018,45.369999
22/6/2018,44.709999
25/6/2018,42.009998
26/6/2018,43.990002
27/6/2018,41.419998
28/6/2018,41.619999
29/6/2018,42.619999
2/7/2018,43.290001
3/7/2018,45.540001
5/7/2018,45.41
6/7/2018,46.700001
9/7/2018,46.330002
10/7/2018,45.990002
11/7/2018,45.91
12/7/2018,48.310001
13/7/2018,48.759998
16/7/2018,48.259998
17/7/2018,51.389999
18/7/2018,49.5
19/7/2018,49.790001
20/7/2018,49.77
23/7/2018,49.740002
24/7/2018,46.91
25/7/2018,48.709999
26/7/2018,48.639999
27/7/2018,47.540001
30/7/2018,44.310001
31/7/2018,45.419998
1/8/2018,45.650002
2/8/2018,46.459999
3/8/2018,46.470001
6/8/2018,47.849998
7/8/2018,47.419998
8/8/2018,47.25
9/8/2018,57.32
10/8/2018,58.049999
13/8/2018,55.380001
14/8/2018,55.790001
15/8/2018,54.509998
16/8/2018,57.049999
17/8/2018,56.07
20/8/2018,57.029999
21/8/2018,58.75
22/8/2018,59.689999
23/8/2018,60.09
24/8/2018,63.259998
27/8/2018,64.099998
28/8/2018,62.990002
29/8/2018,59.919998
30/8/2018,60.68
31/8/2018,59.490002
4/9/2018,63.200001
5/9/2018,61.349998
6/9/2018,63.599998
7/9/2018,65.230003
10/9/2018,68.709999
11/9/2018,70.980003
12/9/2018,70.940002
13/9/2018,70.610001
14/9/2018,71.120003
17/9/2018,69.75
18/9/2018,72.07
19/9/2018,70.610001
20/9/2018,72.860001
21/9/2018,72.449997
24/9/2018,73.07
25/9/2018,73.029999
26/9/2018,73.339996
27/9/2018,74.739998
28/9/2018,73.029999
1/10/2018,76.480003
2/10/2018,71.639999
3/10/2018,72.57
4/10/2018,66.82
5/10/2018,66.940002
8/10/2018,65.639999
9/10/2018,64.5
10/10/2018,56.450001
11/10/2018,56.080002
12/10/2018,60.41
15/10/2018,61.689999
16/10/2018,63.66
17/10/2018,60.84
18/10/2018,57.009998
19/10/2018,54.09
22/10/2018,53.91
23/10/2018,54.09
24/10/2018,50.740002
25/10/2018,52.049999
26/10/2018,51.82
29/10/2018,50.470001
30/10/2018,52.259998
31/10/2018,55.599998
1/11/2018,57.830002
2/11/2018,57.889999
5/11/2018,56.849998
6/11/2018,55.619999
7/11/2018,58.860001
8/11/2018,45.740002
9/11/2018,43.939999
12/11/2018,41.459999
13/11/2018,42.439999
14/11/2018,43.200001
15/11/2018,44.529999
16/11/2018,44.580002
19/11/2018,42.669998
20/11/2018,40.860001
21/11/2018,40.25
23/11/2018,39.919998
26/11/2018,41.209999
27/11/2018,39.220001
28/11/2018,38.93
29/11/2018,40.84
30/11/2018,40.75
3/12/2018,42.169998
4/12/2018,39.779999
6/12/2018,40.82
7/12/2018,37.919998
10/12/2018,37.200001
11/12/2018,35.810001
12/12/2018,35.169998
13/12/2018,33.740002
14/12/2018,33.419998
17/12/2018,32.119999
18/12/2018,31.34
19/12/2018,30.610001
20/12/2018,29.66
21/12/2018,27.280001
24/12/2018,27.17
26/12/2018,30.35
27/12/2018,30.459999
28/12/2018,30.16
31/12/2018,30.639999
2/1/2019,32.52
3/1/2019,30.1
4/1/2019,33.73
7/1/2019,42.18
8/1/2019,40.880001
9/1/2019,42.099998
10/1/2019,40.16
11/1/2019,39.57
14/1/2019,39.459999
15/1/2019,40.490002
16/1/2019,39.889999
17/1/2019,41.630001
18/1/2019,40.98
22/1/2019,39.91
23/1/2019,40.439999
24/1/2019,43.290001
25/1/2019,43.689999
28/1/2019,43.860001
29/1/2019,42.849998
30/1/2019,44.130001
31/1/2019,44.950001
1/2/2019,45.209999
4/2/2019,47.43
5/2/2019,48.16
6/2/2019,48.380001
7/2/2019,46.860001
8/2/2019,48.27
11/2/2019,46.98
12/2/2019,49.209999
13/2/2019,50.200001
14/2/2019,50.970001
15/2/2019,52.080002
19/2/2019,53.220001
20/2/2019,53.639999
21/2/2019,51.48
22/2/2019,64.470001
25/2/2019,64.870003
26/2/2019,65.080002
27/2/2019,67.370003
28/2/2019,66.290001
1/3/2019,69.080002
4/3/2019,67.050003
5/3/2019,68.830002
6/3/2019,71.889999
7/3/2019,70.809998
8/3/2019,71.269997
